大区,货架,层级,位次,产品名
A,1,1,1,入门35000
A,1,1,1,入门40000
A,1,1,2,速凌四代
A,1,1,3,超薄五代
A,1,1,4,速五48000
A,1,1,5,ATM无刷
A,1,2,L1,M4提拔
A,1,2,L2,冷铁416导气座铝
A,1,2,L3,冷铁 9寸导气管
A,1,2,L4,416 9寸导气管
A,1,2,L5,ldt 416钢导气座
A,1,2,L6,ldt ar导气座铝
A,1,2,L7,大g护弓
A,1,2,L8,马盖普护弓
A,1,2,L9,bcm护弓
A,1,2,L10,快慢机盖
A,1,2,L10,ldx ar快慢机
A,1,2,L10,ldx dd双边快慢机
A,1,2,L10,ldx 416双边快慢机
A,1,2,L10,ldx 马盖普快慢机
A,1,2,L11,新版colt快慢机
A,1,2,L12,ldx双边联动齿轮组
A,1,2,R1,阻弹器
A,1,2,R2,ldx窗凸起
A,1,2,R3,3mm销钉
A,1,2,R4,QD扣
A,1,2,R5,博氏电池
A,1,2,R6,1100三胞胎
A,1,2,R7,ldt 1350电池
A,1,2,R7,mini充电器
A,1,2,R8,ldt 950电池
A,1,2,R9,ldt 1100电池
A,1,2,R10,se ar抛壳窗
A,1,2,R10,ldx dd抛壳窗
A,1,2,R10,se 416抛壳窗
A,1,2,R10,ldx n4抛壳窗
A,1,2,R11,ldx ar抛壳窗
A,1,2,R12,dd护木片
A,1,2,R12,bcm护木片
A,1,2,R12,smr护木片
A,1,3,L1,atm原厂零配件
A,1,3,L2,atm金塞
A,1,3,L3,抛壳窗凸起
A,1,3,L4,atm40齿条
A,1,3,L5,两通
A,1,3,L5,长两通
A,1,3,L5,推嘴
A,1,3,L5,推杆
A,1,3,L5,小钢块
A,1,3,L6,军版开关
A,1,3,L6,大g开关
A,1,3,L6,bcm开关
A,1,3,L6,radian开关
A,1,3,L6,推嘴胶皮
A,1,3,L7,atm火控下板
A,1,3,L7,atm mcx配件包
A,1,3,L8,atm回趟杆
A,1,3,R1,atm尾顶
A,1,3,R1,鱼骨垫片0.1
A,1,3,R1,鱼骨垫片0.2
A,1,3,R1,鱼骨垫片0.5
A,1,3,R1,atm原厂齿条
A,1,3,R2,atm倒七
A,1,3,R2,atm短拉杆
A,1,3,R2,atm空挂
A,1,3,R2,atm金属推杆限位
A,1,3,R2,atm阻铁
A,1,3,R3,atm钢蛋糕齿
A,1,3,R4,atm铝菊花
A,1,3,R5,atm钢菊
A,1,3,R6,atm网球拍
A,1,3,R6,大g网球拍
A,1,3,R6,mcx网球拍
A,1,3,R6,dd网球拍
A,1,3,R6,a5网球拍
A,1,3,R7,atm波壳
A,1,3,R8,bj300blk抛壳窗
A,1,3,R8,bj5.56抛壳窗
A,1,4,L1,atm火控
A,1,4,L2,atm轴承组
A,1,4,L3,atm ar钢bolt
A,1,4,L4,atm ar深凹陷钢bolt
A,1,4,L5,atm 古铜钢bolt
A,1,4,L6,b3平衡充
A,1,4,R1,司骏mcx拉机柄
A,1,4,R2,星河百货
A,1,4,R3,si网球拍
A,1,4,R3,bad556网球拍
A,1,5,1,atm齿轮组
A,2,1,1,mp5k套件
A,2,1,2,mp5k现代化套件
A,2,2,L1,大g插销
A,2,2,L2,atm易舒特火控
A,2,2,L3,dd机瞄
A,2,2,L4,kac600机瞄
A,2,2,L5,416d机瞄
A,2,2,L5,416c前机瞄
A,2,2,L6,si后托导轨转接
A,2,2,L7,大g导气座黑色
A,2,2,L8,大g导气座银色
A,2,2,R1,ESD阻手沙色
A,2,2,R2,ESD阻手黑色
A,2,2,R3,dmd阻手沙色
A,2,2,R4,dmd阻手黑色
A,2,2,R5,pdx前阻手器
A,2,2,R5,slr阻手器
A,2,2,R6,kac导轨片
A,2,2,R7,radian快慢机齿轮组
A,2,2,R7,radian单边快慢机
A,2,2,R8,bcm QD座
A,2,2,R9,形状导轨片
A,2,2,R10,kac尼龙护木片
A,2,3,L1,vp黑座
A,2,3,L2,vp9l逆牙管
A,2,3,L3,vp9l平头管
A,2,3,L4,vp金管
A,2,3,L5,vp9平管
A,2,3,L6,vp逆牙管
A,2,3,L7,vp黑井
A,2,3,R1,atm炫彩bolt
A,2,3,R2,vp金属释放
A,2,3,R2,vp尼龙释放
A,2,3,R3,vp握把
A,2,3,R4,vp铜管座
A,2,3,R4,vp充电线
A,2,3,R5,vp塑料弹夹壳
A,2,3,R6,vp震池
A,2,3,R7,vp红井
A,2,3,R8,vp银井
A,2,3,R9,vp金属活塞
A,2,4,1,vp黑攻击头
A,2,4,2,陆军托
A,2,4,2,sig pcb后托
A,2,4,3,str托
A,2,4,4,bcm mod0s后托
A,2,4,5,海军托
A,2,4,6,416面包托
A,2,4,6,a5托
A,2,4,7,DT托
